연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
콜라비씨앗,10,220,0.4,16,1.98%,7.41%,높음,8
생명정,120,100,1.4,6.1,1.13%,6.15%,높음,8
황산고토,50,170,0,4.8,-,3.07%,중간,5
종이화분,60,160,0,2,-,1.33%,높음,8
뱅갈고무나무화분,40,180,0.5,3,1.09%,1.82%,높음,8
특이한화분,40,180,0.3,2,0.59%,1.09%,높음,8
지피포트,60,160,2.3,6.8,3.89%,4.3%,중간,7
율마화분,50,170,0.9,2.3,1.72%,1.36%,높음,8
전국화분배달,40,180,3.2,24.8,7.62%,13.48%,높음,10
크루시아꽃,10,210,0,0,-,-,높음,3
미네랄드롭,20,200,2,9.2,6.88%,4.56%,중간,5
초산칼슘,60,160,0.9,3.5,1.4%,2.31%,높음,10
아바나투,30,190,0.7,0.3,1.91%,0.16%,높음,3
숙근초,60,160,0.1,2.8,0.16%,1.73%,높음,9
정원소품,40,180,1.9,15,4.14%,8.43%,높음,10
화단경계,140,80,2.9,1.5,2.04%,2.35%,높음,8
플라스틱삽,70,150,0.3,2.5,0.32%,1.66%,높음,8
물조리,50,170,0,1.3,-,0.77%,높음,8
콘솔책상,30,190,0.8,2.5,1.88%,1.43%,높음,8
콘솔가구,30,190,1.3,9.3,3.94%,4.75%,높음,10
나무발받침대,60,160,0,1,-,0.64%,높음,3
돌구매,30,180,0,2.9,-,1.7%,중간,7
나무판매,80,130,2.7,4.5,3.86%,3.88%,높음,10
화분거름,30,180,0.4,4,1.3%,2.37%,높음,8
디자인화분,60,150,0.8,2.5,1.18%,1.68%,높음,8
초대형화분,40,170,2.6,11.8,5.71%,7.26%,높음,8
황토화분,20,190,1,7.5,4%,4.08%,높음,8
다육식물화분,10,200,0,0.3,-,0.19%,높음,3
야생화씨앗,40,170,5.4,12.3,10.97%,8.23%,높음,8
식물살충제,30,180,0,2.8,-,1.58%,높음,8
치요다비료,20,190,1,13.1,5.56%,6.94%,낮음,2
바다모래,60,150,1.4,2.5,2.19%,1.8%,높음,8
인테리어돌,40,170,0.3,2.3,0.61%,1.33%,높음,8
모래자갈,50,160,0.3,2,0.6%,1.3%,높음,7
디자이너가구,60,150,3.4,11.4,5.4%,8.51%,높음,10
포트화분,60,150,0.1,6.5,0.23%,4.34%,높음,8
산삼씨앗,20,190,0.8,6,3.06%,3.51%,높음,10
나팔꽃씨앗,40,170,0.5,4.3,1.12%,2.78%,높음,10
라벤더씨앗,20,190,0.3,6.8,1.25%,3.69%,높음,8
고들빼기씨앗,20,190,0.8,14,3.13%,7.78%,높음,8
조경자갈,40,160,2.8,8.8,6.67%,6.35%,높음,10
탁상용화분,60,140,1.5,2.8,2.46%,2.09%,높음,8
녹보수해피트리,20,180,0,0,-,-,높음,3
공기청정화분,30,170,0.4,3.8,0.97%,2.33%,높음,8
개업나무,40,160,0.8,4,1.67%,2.44%,높음,8
키큰화분,20,180,0.1,3.3,0.55%,1.96%,높음,8
개업화분꽃배달,20,180,0.1,2,0.69%,1.13%,높음,7
발근촉진제,50,150,0.6,4.5,1.12%,2.93%,높음,8
골재장,60,140,1,3,1.77%,2.33%,중간,8
고착제,50,150,0.5,6,0.93%,3.85%,높음,8
마당자갈,40,160,1,9.8,2.5%,7.02%,높음,8
참외씨앗,40,160,3.1,6,7.21%,4.03%,높음,8
다이소모종삽,40,160,0,0.3,-,0.23%,높음,3
화분정리,40,160,0.5,2.8,1.2%,1.86%,높음,8
화장대콘솔,20,180,0.1,2.5,0.55%,1.49%,높음,8
도로화분,90,110,5.4,6.6,5.69%,6.35%,높음,10
로즈마리씨앗,20,180,0.5,7.5,1.87%,4.47%,높음,8
상토배양토,50,140,0.2,2.3,0.4%,1.65%,높음,10
원예상토,40,150,1.3,6.8,2.46%,4.86%,높음,8
한판승상토,20,170,0,0,-,-,높음,3
리치쏘일,20,170,0.3,8,1.38%,4.82%,중간,7
테라코템,90,100,1,2.5,1.19%,2.73%,중간,7
적옥토소립,20,170,0,0,-,-,높음,3
석영모래,20,170,0,3,-,1.8%,높음,3
마늘비료,10,180,0.3,5.5,2.73%,4.96%,높음,10
마그네슘비료,40,150,1.8,8,3.85%,5.93%,중간,7
집화분,20,170,0.3,2.8,1.06%,1.65%,높음,7
화분나무,20,170,0.6,3,2.5%,1.76%,높음,8
집에서키우는나무,10,180,0.2,0.9,0.88%,0.52%,중간,6
야외화분,50,140,1.6,7,2.76%,5.74%,높음,8
관주용비료,60,130,2.2,9.8,3.73%,7.34%,높음,10
채소모종,60,130,1.9,5.8,3.41%,4.96%,높음,8
황산망간,100,90,0.3,1.8,0.27%,2.14%,높음,7
사과탄저병,50,140,0.2,1,0.45%,0.85%,중간,8
램스이어,40,150,0,0.3,-,0.23%,높음,3
크로커스구근,30,160,1.3,8.3,3.91%,5.36%,높음,8
대형분무기,50,140,0.3,1.3,0.44%,0.97%,높음,8
인테리어콘솔,10,180,0.9,5.8,4.38%,3.55%,높음,8
희귀씨앗,40,150,3.9,16,11.15%,11.68%,높음,10
참깨씨,30,160,0,1,-,0.69%,중간,6
호야화분,30,160,0,2.5,-,1.68%,중간,7
메리골드모종,40,150,1,6,2.47%,4.23%,중간,8
오성공구,60,130,1,6.5,1.61%,5.2%,중간,5
제라늄흙,< 10,180,0,2.5,-,1.43%,높음,8
세척마사,50,130,0.8,3,1.67%,2.37%,높음,8
황토가루,50,130,0.4,4.5,0.73%,3.85%,높음,8
원예키트,90,90,3.3,5.3,3.75%,5.47%,높음,10
거실인테리어화분,30,150,0.4,1.5,1.14%,1.09%,높음,8
테이블화분,40,140,0.1,1,0.27%,0.75%,높음,8
개업화분가격,20,160,0.3,9,1.09%,5.67%,높음,8
식당개업화분,30,150,0.6,6.8,1.94%,4.42%,높음,10
관엽화분,60,120,1.4,5.8,2.22%,4.8%,높음,8
아가베식물,20,160,0,0,-,-,높음,3
도기화분,30,150,1,2,2.95%,1.35%,높음,8
관주비료,40,140,0.8,4.5,1.88%,3.63%,높음,8
아미노산비료,40,140,0.4,3.3,0.88%,2.56%,높음,8
유기농비타민,30,150,0.3,2,0.7%,1.43%,높음,8
난초영양제,30,150,0.8,6,2.5%,4.32%,높음,8
킬레이트철,50,130,0.4,5.8,0.79%,4.84%,중간,7
샤프란구근,30,150,0.9,6.8,2.6%,4.2%,높음,7
쇄석골재,130,50,2.6,1.8,1.96%,3.25%,높음,8
산마늘모종,60,120,0.6,5,0.92%,5.5%,중간,7
엔진고압분무기,60,120,3.3,9.5,5%,8.19%,높음,10
사무실입구인테리어,60,120,1.4,3.4,2.19%,2.75%,높음,10
스프레이분무기,40,140,0.9,5.3,1.87%,3.92%,높음,8
학표비닐,40,140,1.7,3.5,4.07%,2.53%,중간,3
충전식전동가위,30,150,1.4,14.5,4.67%,9.87%,높음,10
양초난로,40,140,0.9,7.3,2.23%,4.84%,중간,7
황토항아리,20,160,0.3,6,1.09%,3.71%,높음,8
화분장식장,10,170,0.5,4,3.58%,2.55%,높음,10
샐러리씨앗,40,140,0.1,2.8,0.34%,2.04%,높음,8
고무나무분갈이,30,150,0,0,-,-,높음,3
스킨답서스화분,30,150,0,0,-,-,높음,3
다육이식물,30,150,0.3,1.8,0.74%,1.2%,높음,8
분갈이용토,20,150,0.4,4.8,1.57%,3.37%,높음,8
상토가격,40,130,0.3,5.8,0.75%,4.64%,높음,10
왕마사,110,60,2.4,2.3,2.1%,3.95%,높음,10
썩지않는흙,30,140,0.9,5.3,2.63%,3.73%,높음,8
묘목판매,80,90,3.9,7.1,4.7%,9.04%,높음,10
마블화분,20,150,0.5,3,1.86%,2.05%,높음,8
재배분,30,140,0,0,-,-,낮음,0
가정용화분,40,130,0.6,2,1.39%,1.71%,높음,8
레츄자,30,140,0.1,1.5,0.41%,1.11%,높음,9
식물비료,20,150,0.3,3.8,0.93%,2.63%,높음,8
골재가격,60,110,1.8,7.3,3%,6.48%,높음,10
식물벌레,10,160,0,0,-,-,높음,3
달팽이제거제,30,140,0.4,5,1.05%,3.55%,높음,8
모래파는곳,20,150,0.1,1.5,0.5%,1.07%,높음,8
원종튤립,20,150,0.1,5,0.53%,3.45%,높음,9
사각받침대,40,130,0.5,2.8,1.25%,2.04%,높음,8
아파트조경,60,110,1.2,1.5,1.91%,1.32%,높음,10
원목화분받침,20,150,0.3,3.5,1.05%,2.34%,높음,8
배추씨앗,20,150,0,4.8,-,3.07%,높음,8
스텐갈고리,60,110,0.3,0.5,0.55%,0.48%,높음,3
적과가위,50,120,0,0.8,-,0.6%,높음,8
꽃잔디씨앗,30,140,1.3,7.5,4.65%,6.64%,높음,10
산소잔디씨,10,160,0.7,5,7.25%,5.27%,높음,8
나무씨앗,20,150,0.9,4.3,3.26%,2.94%,높음,8
창틀화분걸이,20,150,0.3,2.3,0.93%,1.45%,높음,8
대리석콘솔,20,150,0.8,9.3,5%,6.17%,높음,8
유채씨,30,140,1,2.5,2.95%,1.9%,높음,8
전기동력분무기,50,120,1.1,5,2.25%,4.17%,높음,10
오크라씨앗,10,160,0.4,10.3,2.89%,5.64%,높음,8
텃밭흙,40,120,0.6,6.8,1.69%,6.89%,높음,8
화분흙갈이,20,140,0.1,4.5,0.45%,3.47%,높음,8
정원만들기,50,110,3,14.8,5.36%,13.54%,높음,10
비료종류,30,130,0.2,3.8,0.59%,3.08%,높음,10
땅심,120,40,0,0,-,-,높음,3
경인소재,90,70,2.1,0.7,2.39%,1%,낮음,2
옥천묘목시장,30,130,2.7,16.3,11.74%,14.64%,높음,10
참깨비닐,30,130,0,0.3,-,0.27%,높음,3
압축코코피트,30,130,1,4.8,2.78%,3.72%,높음,8
풀매트,20,140,0.4,4.3,1.37%,3.25%,높음,10
야자수화분,20,140,0.4,1.5,2.09%,1.05%,높음,8
벤자민화분,30,130,0.4,3.8,1.18%,2.91%,높음,8
안스리움화분,40,120,0.5,1.5,1.12%,1.2%,높음,8
연꽃화분,30,130,0.5,2.8,1.79%,2.48%,높음,10
흰색화분,20,140,0.6,6,2.24%,4.14%,높음,8
화분판매,30,130,0.9,1.3,2.5%,1.06%,높음,8
대형나무화분,40,120,1.1,2.8,2.82%,2.5%,높음,8
포항화분,20,140,0.6,6.8,2.23%,4.83%,높음,10
곰취모종,30,130,0.9,3.3,2.46%,2.78%,높음,8
스테비아씨앗,30,130,1.9,13.5,5.86%,11.16%,높음,8
골제,40,120,0,0,-,-,낮음,2
콩자갈가격,30,130,2.2,12.3,7.1%,9.72%,높음,10
화산송이석,40,120,1.1,7,2.5%,5.94%,높음,8
튤립모종,30,130,0.4,3.8,1.15%,3.24%,높음,8
플라스틱수반,30,130,0.3,4,0.9%,3.2%,중간,7
스텐분무기,50,110,0.4,1.3,0.75%,1.18%,높음,8
금어초씨앗,10,150,0,0.3,-,0.19%,높음,3
원예자재,60,100,4.4,7,6.63%,6.94%,높음,8
수국씨앗,30,130,0.5,4.8,1.96%,3.93%,중간,8
수납장DIY,30,130,1.4,4,3.82%,3.18%,높음,8
베란다화분다이,10,150,0.3,7.5,2.86%,5.82%,높음,7
토마토씨,10,150,0.5,1,3.45%,0.69%,중간,4
황기씨앗,30,130,4.7,8.8,11.55%,7.12%,높음,10
더덕씨,20,140,0.8,5.8,3.75%,5.19%,높음,8
클래식가구,40,120,2.8,12,6.67%,10.91%,높음,10
비닐화분,30,130,1,2.3,2.78%,1.74%,높음,8
제라늄분갈이흙,< 10,150,0.4,6.3,4.17%,4.47%,높음,8
마사토흙,10,140,0.8,11.5,4.71%,7.94%,높음,10
딸기상토,50,100,0.5,3.5,1.03%,3.4%,높음,8
잘자람,20,130,1.4,2.2,6.18%,2.1%,중간,4
원예프로그램,100,50,2.6,1,2.6%,1.79%,높음,7
나무구매,50,100,1.4,4.3,2.6%,4.3%,높음,10
깨비상토,30,120,1,11,3.48%,9.02%,중간,5
재배키트,130,20,0,0.7,-,3.34%,높음,3
FLOWERSHOP,20,130,0,2,-,1.64%,높음,7
플랜트화분,50,100,2.8,3,4.75%,2.95%,높음,8
꽃화분배달,30,120,2.5,8.8,7.36%,6.93%,높음,10
화분주문,40,110,4.7,8.8,9.6%,7.53%,높음,10
스트레스헌터,10,140,0,0,-,-,낮음,0
상추재배,20,130,0.3,2.3,1.25%,1.91%,높음,10
비건멀티비타민,20,130,1.3,8.3,4.63%,6.12%,높음,8
상추영양제,10,140,0.1,6.8,0.63%,4.69%,높음,8
다이소발근제,10,140,0.8,0.9,5%,0.75%,중간,1
백마사,30,120,0.5,0,1.54%,-,중간,2
비료회사,40,110,0.5,1,1.2%,0.95%,높음,10
완효성복합비료,30,120,0.3,5.5,0.69%,4.34%,높음,8
킹스베리딸기모종,30,120,0.3,4.8,0.81%,4.44%,높음,8
양액비료,50,100,1.1,3.3,1.98%,3.1%,높음,8
옥자갈,30,120,0.1,3.5,0.44%,2.87%,높음,8
흰자갈,30,120,0.9,7,2.58%,6.09%,높음,8
모래구매,60,90,1,6.3,1.59%,7.03%,높음,8
화분물받침,30,120,0.3,3.8,0.74%,3.29%,높음,8
벽식물,30,120,1.1,3.5,3.52%,3.5%,높음,8
열무씨앗,20,130,0.3,3.3,0.93%,2.65%,높음,8
씨앗파는곳,30,120,6,9.5,17.15%,7.86%,높음,8
무씨앗,20,130,0.1,2.3,0.53%,1.97%,높음,8
미니물조리개,30,120,0,0.7,-,0.59%,높음,3
꽃양귀비씨앗,20,130,0.4,6.5,1.71%,6.32%,높음,8
유채꽃씨앗,30,120,0.9,6.5,3.13%,7.07%,높음,8
마루야마분무기,10,140,0.5,6,3.45%,4.73%,높음,8
쑥씨앗,20,130,0.4,9.5,1.74%,7.73%,높음,10
반달콘솔,10,140,0.4,2.8,3.9%,2.14%,중간,7
사각보틀,30,120,0.5,1.8,1.48%,1.54%,높음,8
생맥주배달,10,140,0.5,2.5,2.78%,1.88%,높음,8
참나물씨앗,20,130,0.5,8.8,1.86%,7.06%,높음,8
고추키우기,30,120,0.2,0.5,0.63%,0.46%,높음,10
호밀씨앗,30,120,0.6,5.3,2.16%,4.38%,높음,8
쌈채소씨앗,10,130,0.9,7.3,5.47%,5.9%,높음,8
분갈이용흙,20,120,0.6,4,2.16%,3.61%,높음,8
마사흙,20,120,0.6,7.8,2.61%,7.05%,높음,8
산야초흙,20,120,0.4,3.8,2.35%,3.21%,높음,8
장미비료,30,110,1.1,6,3.63%,6.13%,높음,8
육지거북이바닥재,10,130,0.1,4.8,0.72%,3.84%,높음,8
넬솔,30,110,0.7,1,2.27%,0.91%,중간,7
잘자람상토,10,130,0.8,16.3,4.62%,12.5%,높음,8
전원주택정원,30,110,0.8,8.6,2.06%,8.54%,높음,10
전원주택조경,80,60,4.4,4.6,5.37%,8.22%,높음,10
피트모스상토,30,110,0.9,3,2.44%,2.95%,높음,10
친환경화분,60,80,0.5,1.3,0.79%,1.59%,높음,8
축하화분문구,60,80,0.4,3.8,0.63%,4.32%,높음,10
식탁화분,20,120,0.3,3,1.32%,2.4%,중간,3
화분세트,20,120,0.4,2.3,1.64%,1.83%,높음,8
큰식물,10,130,0,0,-,-,높음,3
예쁜다육이,20,120,0.5,4.3,2.09%,3.64%,높음,8
영전축하화분,60,80,1,5,1.64%,6.25%,높음,7
춘천화분,20,120,0.1,1.1,0.46%,1%,높음,10
행잉바구니,20,120,0,0,-,-,높음,3
복합비료가격,10,130,0.2,5.8,1.67%,4.46%,높음,10
시험검사,40,100,0,0.3,-,0.27%,높음,7
황산마그네슘비료,30,110,0.6,3.5,1.63%,3.77%,중간,7
하카포스,30,110,1.7,5,6.46%,4.73%,중간,3
호주아카시아,10,130,0.6,0,3.45%,-,중간,2
유박퇴비,40,100,0,2,-,2.17%,중간,5
강돌,30,110,0.7,8.8,2%,8.75%,높음,10
잉글리시라벤더,20,120,0,0,-,-,높음,3
생강씨앗,10,130,0.3,8.6,2.25%,6.75%,중간,6
철제화분받침대,10,130,0.1,2,0.97%,1.53%,높음,8
스텐화분,20,120,0.4,1,1.64%,0.91%,높음,8
철제플랜트박스,40,100,2.1,3.5,4.73%,3.77%,높음,8
흑연도가니,40,100,3.2,12,7.28%,11.54%,높음,10
곰보배추씨앗,10,130,0.4,7.5,3.41%,5.64%,높음,8
고추밭관리,< 10,130,1,0,11.12%,-,중간,2
원목화분다이,< 10,130,0.1,6,1.25%,4.73%,높음,8
화초비료,10,120,0.3,5.3,2.09%,4.11%,높음,8
난석중립,10,120,0.7,0.3,3.93%,0.25%,높음,3
발근력,30,100,1.1,0.3,3.07%,0.25%,중간,5
화분거름망,30,100,0,0,-,-,높음,3
원예자격증,50,80,1.6,3.8,3.02%,4.81%,높음,10
원예복지사,40,90,0.3,0.3,0.73%,0.28%,높음,3
개소식선물,20,110,0,1.5,-,1.32%,높음,7
탁상화분,30,100,0.9,3.3,2.6%,3.19%,높음,7
해피트리화분,30,100,0.9,2.3,2.58%,2.4%,높음,8
행운목종류,10,120,0,1.3,-,1.1%,높음,3
개업집선물,20,110,0,4.5,-,4.1%,높음,10
친환경비료,40,90,0.3,1.8,0.6%,2.06%,높음,8
마사토포장,90,40,4.4,2.4,4.74%,5.59%,높음,10
야콘모종,20,110,0,8.7,-,8.63%,중간,4
파프리카모종,20,110,0.5,2.1,2.33%,2.3%,중간,4
규산비료,30,100,0.2,0,0.81%,-,중간,4
작약키우기,10,120,0.1,2,0.63%,1.91%,높음,10
모래1루베가격,50,80,3.4,4.8,5.83%,6.17%,중간,8
물받침,30,100,0,0.3,-,0.32%,높음,3
장미가시제거기,30,100,0.2,1,0.49%,0.93%,중간,6
거실화분정리대,10,120,0.3,3.3,2.5%,2.96%,높음,8
양파씨앗,30,100,1,6,3.45%,5.61%,높음,8
야외전구,20,110,0.5,6.5,2.39%,5.71%,높음,8
화분트롤리,20,110,0,0.7,-,0.65%,높음,3
꽃삽,40,90,0,2.3,-,2.45%,높음,8
충전용전지가위,30,100,1.3,9.3,4.65%,9.74%,높음,10
화단만들기,30,100,0.4,4.3,1.09%,4.39%,높음,10
화분포트,50,80,0.3,1.3,0.52%,1.63%,높음,8
한련화씨앗,30,100,0.8,3.8,2.81%,4.37%,높음,10
콘솔형화장대,10,120,0.1,4.5,0.79%,3.82%,높음,8
부추씨,20,110,0.5,3.3,2.28%,3.1%,높음,8
대형토분화분,10,120,0.5,5.5,3.85%,4.83%,높음,8
플라스틱사각화분,20,110,0.1,2.8,0.66%,2.7%,높음,8
씨앗키우기,30,90,0.1,0.5,0.36%,0.53%,높음,8
선인장흙,10,110,0.3,0.3,2.09%,0.27%,높음,3
못자리상토,60,60,0,0,-,-,높음,3
원예체험,40,80,0.4,0.5,1%,0.63%,높음,10
집안식물,10,110,0,0,-,-,높음,3
철쭉화분,20,100,0.1,3.3,0.46%,3.74%,높음,8
가벼운화분,10,110,0,4.8,-,4.53%,높음,8
코팅비료,20,100,0.7,3,3.27%,3.38%,높음,8
꽃나무화분,20,100,0.3,2.8,1.3%,2.65%,높음,7
졸업식화분,20,100,0.9,1.5,3.9%,1.57%,높음,7
동탄화분,10,110,0.2,5.3,1.43%,4.78%,높음,10
잔디영양제,30,90,0.9,5.8,2.58%,7.02%,높음,8
식물영양제추천,20,100,0.1,3,0.6%,3.16%,높음,8
미생물비료,30,90,1,1.8,3.04%,1.97%,높음,8
가지모종,40,80,1,2.9,2.2%,3.76%,중간,4
머위모종,20,100,0.3,4.2,1.29%,4.42%,중간,4
일당귀모종,20,100,2.7,0.5,11.12%,0.65%,높음,3
청양고추모종,20,100,0,2.8,-,3.15%,중간,5
미량요소복합비료,40,80,0.5,4.3,1.07%,4.73%,높음,8
잔골재,60,60,0.3,0.3,0.43%,0.51%,중간,4
자갈가격,20,100,1.2,7,4.62%,7.78%,높음,10
겹꽃,10,110,0,0.3,-,0.31%,높음,3
폐골재,40,80,0.1,1.5,0.32%,2.06%,중간,8
원예도구,40,80,0.5,0.5,1.09%,0.73%,높음,8
대형화분받침,20,100,0.3,2,1%,2.05%,높음,8
삽목트레이,30,90,0.8,5.8,2.28%,6.39%,높음,8
야외줄조명,40,80,1.1,5.5,2.45%,7.24%,높음,8
씨앗판매,40,80,2.1,7,4.89%,8.87%,높음,10
농사용분무기,20,100,0.3,6,1.58%,6.39%,높음,10
씨앗구매,30,90,3.1,8,8.86%,9.31%,높음,10
꽃지지대,20,100,0,2.8,-,2.75%,높음,8
전기전지가위,10,110,0,9,-,8.58%,높음,10
힘텍전동가위,20,100,1.3,0.8,6.07%,0.75%,높음,3
테라도골드,30,90,0,0,-,-,높음,3
패브릭화분,20,100,0,0,-,-,높음,3
다이아분무기,10,110,0.4,2.5,1.98%,2.43%,높음,8
베란다화분정리대,30,90,0.3,2.3,0.81%,2.75%,높음,8
플랜테리어화분,30,90,0.8,7.3,2.15%,7.8%,높음,8
호야분갈이,10,110,0.3,0.3,2.57%,0.36%,높음,3
회전레이저레벨기,20,100,1.1,4,4.9%,4.55%,높음,8
플라스틱토분,10,110,0.5,1,2.78%,0.98%,높음,8
어수리씨앗,10,110,0.2,10.8,1.89%,9.82%,중간,5
분무기부품,20,100,0.3,4.8,1.14%,5%,높음,8
게걸무씨앗,10,110,0.2,8,1.67%,7.48%,높음,10
서랍콘솔,< 10,110,0,2.8,-,2.55%,높음,8
다육선반,< 10,110,0.3,4,3.13%,3.78%,높음,8
분갈이상토,20,90,0.1,5,0.45%,5.89%,높음,8
대형화분분갈이,20,90,0.1,0.3,0.39%,0.29%,높음,10
인조잔디충진재,70,40,0.4,0.3,0.52%,0.66%,높음,10
아쿠도입제,40,70,0,0.3,-,0.46%,높음,3
원예테라피,70,40,1.6,0.5,2.08%,1.07%,높음,10
양철화분,10,100,0.1,0.8,0.66%,0.82%,높음,8
선인장선물,20,90,0,2.8,-,2.9%,높음,10
드라코화분,30,80,0.1,0.5,0.37%,0.67%,높음,8
야자화분,10,100,0,0,-,-,높음,3
생화화분,20,90,0.1,4.3,0.45%,4.43%,높음,8
실내용화분,20,90,0.4,1.8,1.67%,2.25%,높음,10
사기화분,20,90,0.1,1,0.41%,1.09%,높음,10
미니행운목,30,80,0.1,1.3,0.43%,1.52%,높음,7
당근모종,30,80,0.4,2.3,1.07%,3.06%,중간,5
케일모종,20,90,0.8,1.7,2.81%,2.05%,중간,6
텃밭거름,30,80,0.1,1.8,0.38%,2.5%,높음,8
고추뿌리발근제,10,100,0.5,5.5,2.78%,5.73%,높음,8
수간주사기,40,70,1,0.5,2.05%,0.76%,높음,3
엔케이비료,10,100,0,4,-,4.05%,높음,8
식물살균제,10,100,0,3.8,-,4.08%,높음,8
유칼립투스씨앗,10,100,0.3,4,2.78%,3.81%,높음,10
현무암자갈,40,70,0.8,2.5,1.91%,3.79%,높음,10
춘식구근,30,80,0.5,4.3,1.63%,5.99%,중간,7
사각화분받침,20,90,0,1.5,-,1.57%,높음,8
이동식화분받침,20,90,0,1.5,-,1.55%,높음,8
스마트가든,50,60,2.8,2.7,4.83%,4.72%,높음,10
분무기공병,40,70,0.8,2,1.79%,2.67%,높음,8
벽면조경,80,30,1,0.8,1.09%,2.03%,높음,10
로봇잔디깍기,20,90,1.1,2.8,3.73%,4.17%,중간,7
수납콘솔,10,100,0,1.5,-,1.55%,높음,10
박씨앗,10,100,0,3.5,-,3.77%,중간,5
망포트,10,100,0.9,4.5,5.63%,4.95%,높음,10
수련화분,20,90,0.9,2,4.74%,2.67%,높음,10
농약분무기판매,10,100,0,3.8,-,4.58%,높음,8
플라스틱병뚜껑,30,80,0.1,0.8,0.33%,0.87%,높음,9
달래씨,10,100,0,0,-,-,높음,3
잘자람배양토,< 10,100,0,6.5,-,6.71%,중간,7
왕대박상토,< 10,100,0,2.9,-,2.62%,중간,4
배양토상토,10,90,0.5,1.5,2.64%,1.65%,높음,8
지렁이배양토,30,70,0.1,1.3,0.36%,1.84%,높음,8
분갈이세트,20,80,0,0.7,-,0.85%,높음,3
세척모래,40,60,0.6,1.5,1.39%,2.55%,높음,8
선인장분갈이흙,10,90,0.1,2,1.14%,2.05%,높음,8
다육이전용흙,10,90,0.3,4,2.31%,5%,높음,10
다육이판매,10,90,0.4,4.3,2.48%,5%,중간,7
검은모래,10,90,1,1.6,6.82%,1.89%,중간,3
수생흙,10,90,0.7,0.3,4.77%,0.33%,높음,3
연꽃흙,10,90,0.3,0,3.04%,-,높음,3
정원설계,50,50,0.4,5.3,1.43%,13.13%,높음,10
조경용품,40,60,1.9,4.8,4.64%,7.79%,높음,10
붕산비료,20,80,0.3,3.5,1.3%,4.67%,높음,10
석회질비료,30,70,0,1.5,-,2.03%,높음,8
포트묘,50,50,0,0,-,-,높음,3
롱화분,10,90,0,0,-,-,중간,4
수입화분,20,80,0.5,3.8,2.28%,5.14%,높음,10
당일배송화분,20,80,3,14.5,12%,16.67%,높음,8
난분,30,70,0,0,-,-,높음,7
다이소도자기화분,10,90,0,0.3,-,0.37%,높음,3
개업축하메세지,20,80,0,0.3,-,0.3%,높음,10
공기정화식물화분,20,80,0.4,1.3,1.45%,1.59%,높음,8
식물뿌리영양제,10,90,0.1,4.5,1.25%,4.9%,높음,8
액상비료,30,70,0,0.8,-,1.11%,높음,8
마양구,10,90,0.6,10.9,5.41%,11.39%,중간,3
성분검사,50,50,1,1.4,2%,2.75%,높음,10
농협비료,30,70,0.2,0.8,0.55%,1.12%,중간,5
4종복합비료,40,60,0.5,2,1.14%,2.99%,높음,8
완두콩모종,20,80,0.3,0.3,2.09%,0.36%,높음,3
삼채모종,30,70,0.1,3.8,0.43%,5.96%,높음,8
농약판매,20,80,0.4,2,1.2%,3.13%,높음,8
충가드,10,90,0,3.9,-,4.64%,중간,3
스테비아모종,20,80,0.7,5,3.23%,6.85%,높음,9
후록스,10,90,0,0.3,-,0.4%,높음,3
식물성아미노산비료,10,90,0,0,-,-,높음,3
황산칼륨비료,10,90,1,0.9,7.15%,1.09%,높음,3
모종판매,50,50,0,1,-,2.17%,높음,7
인테리어자갈,30,70,0.8,4.8,2.5%,6.51%,높음,8
파라핀유,30,70,0.2,1.3,0.65%,1.79%,중간,5
펫스톤,20,80,0,2.3,-,2.97%,높음,10
황토미장,30,70,0.8,3.5,2.43%,5.08%,높음,10
모종시장,40,60,0.7,2.3,1.76%,4.02%,높음,7
루트칼,10,90,0.7,6.3,4.42%,7.7%,중간,4
옥수수모종,30,70,0.9,0.3,3%,0.42%,중간,6
다년생작물,40,60,0,0,-,-,높음,3
가드닝용품,20,80,1,2.3,4.77%,2.93%,높음,8
화분받침바퀴,20,80,0.5,1.5,2.28%,1.79%,높음,8
철제콘솔,10,90,0,4.8,-,5.11%,높음,8
계단식화분선반,10,90,0.3,0.3,1.97%,0.35%,높음,3
해바라기파종,20,80,0,0,-,-,높음,3
행잉화분만들기,10,90,0,0,-,-,높음,3
철재화분선반,10,90,0.1,2.3,0.56%,2.37%,높음,10
틈새콘솔,10,90,0,0,-,-,높음,3
화이트콘솔,20,80,0.8,3.3,3.75%,3.74%,높음,8
할미꽃씨앗,10,90,1,0,6.25%,-,높음,3
산마늘씨앗,10,90,0.6,3.3,4.47%,4.07%,높음,8
금계국씨앗,20,80,1.1,4.5,4.69%,6.62%,높음,8
방아씨앗,10,90,0.3,0,2.57%,-,높음,3
다알리아씨앗,10,90,0.9,3.3,5.84%,4.28%,높음,8
새싹씨앗,10,90,0.1,6.8,0.7%,7.04%,높음,8
조롱박씨앗,10,90,0.1,8,0.9%,9.42%,높음,8
우슬씨앗,10,90,0,6.6,-,7.07%,높음,7
다육식물분갈이,< 10,90,0,0,-,-,높음,3
화이트화분,< 10,90,0.3,2.8,3.13%,3.17%,높음,8
아마릴리스꽃,< 10,90,0,0,-,-,높음,3
콩씨앗,< 10,90,0.1,2.5,1.39%,2.81%,높음,8
